"Account number","Numero di conto"
"Bank code","Codice ABI"
"Holder","Intestatario del conto"
"Amount","Importo"
"Transaction Id: %s","ID della transazione: %s"
"Transaction Id","Transaktions-ID"
"Order No.: ","Nume. "
"Payment was successful.","Ordine con sofortbanking trasmesso con successo. Il tuo ID della transazione: %s"
"Payment successfull. Invoice needs to be confirmed.", "Ordine con acquisto su fattura trasmesso con successo. Conferma del venditore non ancora avvenuta. Il tuo ID della transazione: %s"
"Payment was not successfull","Si è verificato un errore durante l\"ordinazione."
"Sofortueberweisung payment loaded.","sofortbanking selezionata come modalità di pagamento. Transazione non conclusa."
"Vorkasse by sofort payment loaded.","Pagamento anticipato selezionato come modalità di pagamento. Transazione non conclusa."
"sofortlastschrift payment loaded.","sofortlastschrift selezionato come metodo di pagamento. Transazione non conclusa."
"Lastschrift by sofort payment loaded.","Addebito by sofort selezionato come metodo di pagamento. Transazione non conclusa."
"Rechnung by sofort payment loaded.","Acquisto su fattura selezionato come metodo di pagamento. Transazione non conclusa."
"Please fill out the account holder","Ti preghiamo di compilare completamente i campi relativi al numero di conto, codice ABI e intestatario del conto."
"Please fill out the account number","Ti preghiamo di compilare completamente i campi relativi al numero di conto, codice ABI e intestatario del conto."
"Please fill out the bank code","Ti preghiamo di compilare completamente i campi relativi al numero di conto, codice ABI e intestatario del conto."
"Cancelation of payment","La modalità di pagamento selezionata non è disponibile o è stata annullata dall\"acquirente. Ti preghiamo di selezionare un\"altra modalità di pagamento."
"Project password","Password di progetto"
"Notification password", "Password di notifica"
"Create Invoice","Creare fattura dopo il pagamento"
"Projekt Id","ID progetto"
"User Id","ID cliente"
"Sofortueberweisung","sofortbanking"
"customer protection","sofortbanking con protezione dell\"acquirente"
"Direct payment method of Payment Network AG.","sofortüberweisung è il servizio di pagamento gratuito e certificato TÜV di Payment Network AG."
"Rechnung by sofort","Rechnung by sofort"
"Orders with Rechnung by sofort","Acquisto su fattura"
"Rechnung","Kauf auf Rechnung"
"Invoice with payment guarantee.","Acquisto su fattura con garanzia di pagamento."
"sofortlastschrift","sofortlastschrift"
"Secure direct debit system.","Il sistema di addebito sicuro di Payment Network AG."
"Vorkasse by sofort","Vorkasse by sofort"
"Vorkasse","Vorkasse"
"Automated money order system.","Pagamento anticipato con saldo automatico."
"Lastschrift by sofort","Lastschrift by sofort"
"Lastschrift","Prelievo bancario (addebito)"
"Lastschriftverfahren","Addebito diretto automatico di Payment Network AG."
"sofortueberweisung and other sofort-products","sofortbanking e altri prodotti di sofort"
"More","maggiori informazioni"
"Error while saving this configuration: ","Errore durante il salvataggio.: "
"Item was successfully saved","salvato con successo."
"Edit Cart","Warenkorb bearbeiten"
"Update Invoice","bearbeitete Rechnung speichern"
"Your benefit:","I tuoi vantaggi:"
"Edit Cart","Warenkorb bearbeiten"
"Certified payment method","<ul><li>Sistema di pagamento con protezione dei dati certificata TÜV</li><li>Registrazione non necessaria</li><li>Merce/servizio può essere spedita/o SUBITO</li><li>Ti preghiamo di avere a disposizione i dati per l\"online banking (PIN/password dispositiva)</li></ul>"
"Certified payment method, direct debit","<ul><li>Sistema di pagamento con protezione dei dati certificata TÜV</li><li>Registrazione non necessaria</li><li>Merce/servizio può essere spedita/o SUBITO</li><li>Ti preghiamo di avere a disposizione il codice PIN per la banca online</li></ul>"
"Help","Aiuto"
"Learn More","maggiori informazioni"
"Sort sequence","Ordine di visualizzazione"
"Confirmed order status","Bestätigter Bestellstatus"
"Activate module","Modul aktiviert"
"Label","Bezeichnung"
"Enabled","Modulo attivato"
"Payment from applicable countries","Selezionare i paesi"
"Payment from Specific countries","Selezionare i paesi"
"Money received.","Accredito." 
"Customer returned payment","Per questa transazione vi è un addebito respinto.  "
"Please pay to the following account","Ti preghiamo di usare i seguenti dati per il versamento:"
"Your order # is: %s.","Ihre Bestellnummer lautet: %s."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie erhalten eine Bestätigungs per E-Mail mit den Details Ihrer Bestellung und einem Link zum Bearbeitungsstatus."
"Reason","Causale"
"Reason 2","Causale 2"
"Please confirm our privacy policy.","Ti preghiamo di accettare l\"informativa sulla tutela dei dati personali."
"The invoice has been canceled.","La fattura è stata annullata. Importo accreditato."
"Configuration key","Chiave di configurazione"
"Successfully confirmed invoice: %s","%s"
"Successfully canceled invoice: %s","La fattura è stata annullata %s"
"Successfully canceled invoice. Credit memo created: %s","La fattura è stata annullata. Importo accreditato. %s"
"Banner or text","Banner o testo nella selezione delle opzioni di pagamento"
"All products deactivated due to errors, initiation aborted.", ""
"Must not be empty.", "I dati inseriti sono incompleti o errati. Ti preghiamo di correggerli o contattare il gestore."
"Not in list of valid values.", "Non compreso nell\"intervallo di valori validi."
"Must be a positive number.", "Il valore deve essere positivo."
"Unsupported currency.", "Al momento vengono supportati solo ordini in Euro. Ti preghiamo di correggere il valore e riprovare di nuovo."
"Amount is out of range.", "L\"importo complessivo è troppo alto o troppo basso. Ti preghiamo di correggere l\"informazione o contattare il fornitore."
"Invalid characters.", "Caratteri sconosciuti"
"Maximum length of 27 characters exceeded.", "Numero massimo di caratteri superati (max. 27)."
"Invalid email address.", "L\"ordine non può essere effettuato a causa dell\"indirizzo e-mail non valido. Ti preghiamo di correggerlo e riprovare di nuovo."
"Invalid phone number.", "L\"ordine non può essere eseguito a causa di un numero di telefono errato. Ti preghiamo di correggere i dati e riprovare di nuovo."
"Invalid country code.", "Il codice del paese non è supportato. Ti preghiamo di rivolgerti al tuo gestore."
"Unsupported country code.", "Il BIC indicato non è valido."
"Invalid BIC.", "L\"ordine non può essere eseguito a causa di un BIC (Bank Identifier Code) errato. Ti preghiamo di correggere i dati e riprovare di nuovo."
"Only German addresses (DE) are supported.", "L\"ordine non può essere eseguito a causa di un codice paese errato. L\"indirizzo di spedizione/fatturazione deve essere in Germania. Ti preghiamo di correggere i dati e riprovare di nuovo."
"Product only supports German sender accounts.", "Sono compatibili solo conti tedeschi. Ti preghiamo di correggere l\"informazione o selezionare un\"altra modalità di pagamento."
"Invoice amount exceeds amount limit in factoring contract.", "L\"importo totale è troppo alto. Ti preghiamo di correggerlo e riprovare di nuovo."
"Invoice amount is lower than minimum amount defined in project settings.", "L\"importo totale è troppo basso. Ti preghiamo di correggerlo e riprovare di nuovo."
"Invalid tax, allowed values are: 7, 19.", "Valore per l\"IVA errato. Valori validi: 7,19."
"Validation of given bank account and bank code failed.", "La validazione del conto bancario e del codice ABI è fallita."
"Maximum length of 255 characters exceeded.", "È stato superato il numero massimo di 255 caratteri."
"Invalid items found.", "La richiesta contiene articoli non validi. Si prega di effettuare le dovute correzioni o di contattare il proprietario del negozio."
"Payment not possible with this service.", "Inserire almeno l\"intestatario del conto e riprovate di nuovo."
"Transaction with same data already created.", "Esiste già una transazione con i dati trasmessi."
"This service is currently only accessible by non-commercial customers.", "Acquisto su fattura è disponibile al momento solo per clienti privati."
"Version Number","Numero di versione"
"https://images.sofort.com/de/su/landing.php","https://images.sofort.com/it/su/landing.php"
"https://images.sofort.com/de/su/banner_150x200.png","https://images.sofort.com/it/su/banner_150x200.png"
"https://images.sofort.com/de/sl/logo_155x50.png","https://images.sofort.com/it/sl/logo_155x50.png"
"https://images.sofort.com/de/sl/banner_300x100.png","https://images.sofort.com/it/sl/banner_300x100.png"
"https://images.sofort.com/de/su/logo_155x50.png","https://images.sofort.com/it/su/logo_155x50.png"
"https://images.sofort.com/de/su/banner_400x100_ks.png","https://images.sofort.com/it/su/banner_400x100_ks.png"
"https://images.sofort.com/de/su/banner_300x100.png","https://images.sofort.com/it/su/banner_300x100.png"
"Kauf auf Rechnung not allowed for downloadable or virtual products","Kauf auf Rechnung nicht möglich bei Download Produkten"